batch,epoch,avg_sse,cnt_err,pct_cor,pct_err,avg_norm_err,avg_cos_err,avg_ext_rew,avg_cycles,epoch_time_tot,epoch_time_usr,PFCout_lay_avg_sse,PFCout_lay_cnt_err,PFCout_lay_pct_cor,PFCout_lay_pct_err,PFCout_lay_avg_norm_err,PFCout_lay_avg_cos_err,net_avg_cos_diff,net_avg_trial_cos_diff,net_avg_avg_act_diff,GPeNoGo_avg_cos_diff,GPi_Thalamus_avg_cos_diff,MatrixGo_avg_cos_diff,MatrixNoGo_avg_cos_diff,PFCout_avg_cos_diff,PFCout_deep_avg_cos_diff,GPeNoGo_avg_trial_cos_diff,GPi_Thalamus_avg_trial_cos_diff,MatrixGo_avg_trial_cos_diff,MatrixNoGo_avg_trial_cos_diff,PFCout_avg_trial_cos_diff,PFCout_deep_avg_trial_cos_diff,GPeNoGo_avg_avg_act_diff,GPi_Thalamus_avg_avg_act_diff,MatrixGo_avg_avg_act_diff,MatrixNoGo_avg_avg_act_diff,PFCout_avg_avg_act_diff,PFCout_deep_avg_avg_act_diff,GPeNoGo_avg_net_sd,GPi_Thalamus_avg_net_sd,MatrixGo_avg_net_sd,MatrixNoGo_avg_net_sd,PFCout_avg_net_sd,PFCout_deep_avg_net_sd,GPeNoGo_hog_pct,GPi_Thalamus_hog_pct,MatrixGo_hog_pct,MatrixNoGo_hog_pct,PFCout_hog_pct,PFCout_deep_hog_pct,GPeNoGo_dead_pct,GPi_Thalamus_dead_pct,MatrixGo_dead_pct,MatrixNoGo_dead_pct,PFCout_dead_pct,PFCout_deep_dead_pct,GPeNoGo_netmax,GPi_Thalamus_netmax,MatrixGo_netmax,MatrixNoGo_netmax,PFCout_netmax,PFCout_deep_netmax,GPeNoGo_avg_act,GPi_Thalamus_avg_act,MatrixGo_avg_act,MatrixNoGo_avg_act,PFCout_avg_act,PFCout_deep_avg_act,GPeNoGo_Fm_MatrixNoGo_netrel,GPi_Thalamus_Fm_MatrixGo_netrel,GPi_Thalamus_Fm_GPeNoGo_netrel,MatrixGo_Marker_Fm_GPi_Thalamus_netrel,MatrixGo_Deep_Raw_Fm_GPeNoGo_netrel,MatrixGo_Fm_Input_netrel,MatrixGo_Fm_PFCout_netrel,MatrixGo_Marker_Fm_SNc_netrel,MatrixNoGo_Marker_Fm_GPi_Thalamus_netrel,MatrixNoGo_Deep_Raw_Fm_GPeNoGo_netrel,MatrixNoGo_Fm_Input_netrel,MatrixNoGo_Fm_PFCout_netrel,MatrixNoGo_Marker_Fm_SNc_netrel,PFCout_Marker_Fm_GPi_Thalamus_netrel,PFCout_Deep_Mod_Fm_PFCout_deep_netrel,PFCout_Fm_Input_netrel,PFCout_deep_Ctxt_Fm_PFCout_netrel,"MatrixGo_act_avg_0","MatrixGo_act_avg_1","MatrixGo_act_avg_2","MatrixGo_act_avg_3","MatrixGo_act_avg_4","MatrixGo_act_avg_5","MatrixNoGo_act_avg_0","MatrixNoGo_act_avg_1","MatrixNoGo_act_avg_2","MatrixNoGo_act_avg_3","MatrixNoGo_act_avg_4","MatrixNoGo_act_avg_5"
0,0,0,0,1,0,0,0,0,75,0.277,0.277,0,0,0,0,0,0,0.536757,0.0195801,0.00330642,0,0,0.990423,0.996582,0.997095,0.312857,0,0,-0.0330126,-0.0326635,-0.0333067,0.288921,0.0194941,0.00695727,8.44399e-09,1.98682e-09,-3.4175e-13,-5.77662e-10,0,0,0.225077,0.209349,0.760098,0.094752,0,0,0,0,0,0,0,0,0,0,0,0,0.567566,0.449729,0.24656,0.22933,0.832645,0.311387,0.520951,0.649804,0.112508,0.149409,0.177316,0.0881332,1,0.649855,0.350145,0,0,0.484424,0.515576,0,0,0,0.485661,0.514339,0,0,0,1,0,0.141466,0.141474,0.137247,0.138445,0.136223,0.139129,0.144111,0.146951,0.145396,0.146339,0.145297,0.14555
0,1,0,0,1,0,0,0,0,75,0.239,0.239,0,0,0,0,0,0,0.541838,0.00118349,0.00292821,0,0,0.986443,0.996393,0.999999,0.351869,0,0,-0.0407747,-0.0399372,-0.0399698,0.170109,0.0225576,0.000868032,6.45717e-09,2.48353e-09,-3.23436e-13,-5.64339e-10,0,0,0.231061,0.204879,0.76578,0.102832,0,0,0,0,0,0,0,0,0,0,0,0,0.550097,0.483328,0.253114,0.224434,0.83887,0.307219,0.451042,0.607382,0.102667,0.140334,0.173839,0.0797329,1,0.654746,0.345254,0,0,0.485837,0.514163,0,0,0,0.483099,0.516901,0,0,0,1,0,0.136725,0.136248,0.127617,0.128252,0.123721,0.127465,0.136033,0.141274,0.140624,0.142996,0.143306,0.143499
0,2,0,0,1,0,0,0,0,75,0.233,0.233,0,0,0,0,0,0,0.544849,0.0720469,0.000397796,0,0,0.930365,0.982325,0.999999,0.446103,0,0,0.0728684,0.0827852,0.0799811,0.260768,0.00910774,-0.00592537,-8.69235e-09,1.15898e-09,-3.67127e-13,-8.84073e-10,0,0,0.236692,0.202655,0.787718,0.145042,0,0,0,0,0,0,0,0,0,0,0,0,0.524825,0.498533,0.259283,0.221997,0.862902,0.34047,0.394978,0.574862,0.0959491,0.13232,0.171285,0.0774481,1,0.642971,0.357029,0,0,0.488348,0.511652,0,0,0,0.482265,0.517736,0,0,0,1,0,0.135265,0.133908,0.119927,0.119968,0.111909,0.114484,0.12567,0.133625,0.135145,0.140197,0.142844,0.143674
0,3,0,0,1,0,0,0,0,75,0.231,0.231,0,0,0,0,0,0,0.539549,0.0302438,0.00247965,0,0,0.891883,0.9478,0.999999,0.476711,0,0,-0.0218944,0.0106562,-2.33948e-06,0.253192,0.0150322,0.00480505,-6.78831e-09,4.13921e-09,-4.61504e-13,-1.05617e-09,0,0,0.243373,0.198792,0.795931,0.164366,0,0,0,0,0,0,0,0,0,0,0,0,0.492338,0.59659,0.266602,0.217766,0.871898,0.360108,0.350448,0.543419,0.0918037,0.124233,0.169408,0.0781791,1,0.690778,0.309222,0,0,0.488818,0.511182,0,0,0,0.482089,0.517911,0,0,0,1,0,0.136666,0.133524,0.115067,0.11238,0.100829,0.100712,0.113523,0.12459,0.129797,0.136901,0.142301,0.144856
0,4,0,0,1,0,0,0,0,75,0.219,0.219,0,0,0,0,0,0,0.520999,0.0259517,0.000535174,0,0,0.808257,0.880097,0.999999,0.479638,0,0,-0.0247568,0.0242142,-4.92136e-06,0.208164,0.0130095,-0.00872817,1.07206e-08,1.15898e-09,-4.33045e-13,-1.20211e-09,0,0,0.248543,0.194901,0.796526,0.162966,0,1,0,0,0,0,0,0,0,0,0,0,0.46331,0.672806,0.272265,0.213503,0.87255,0.357041,0.316975,0.518815,0.0888238,0.116822,0.168019,0.0787124,1,0.686811,0.313189,0,0,0.487039,0.512961,0,0,0,0.482559,0.517441,0,0,0,1,0,0.138658,0.133344,0.113245,0.106006,0.0906318,0.0868052,0.100959,0.11507,0.123614,0.133519,0.141782,0.147033
0,5,0,0,1,0,0,0,0,75,0.234,0.234,0,0,0,0,0,0,0.516852,0.0320233,0.000413478,0,0,0.792328,0.865784,0.999999,0.476702,0,0,-0.0268472,0.0229841,-7.689e-07,0.260051,0.00453844,-0.00123062,3.53158e-09,1.15898e-09,-4.33401e-13,-9.01193e-10,0,0,0.251116,0.194086,0.796739,0.176353,0,1,0,0,0,0,0,0,0,0,0,0,0.506545,0.697298,0.275084,0.212611,0.872783,0.38637,0.286971,0.496497,0.0869732,0.110423,0.166991,0.0789241,1,0.792584,0.207416,0,0,0.48966,0.51034,0,0,0,0.48409,0.51591,0,0,0,1,0,0.140466,0.133735,0.112675,0.100721,0.0811576,0.074686,0.088664,0.10591,0.1168,0.131063,0.142859,0.147964
0,6,0,0,1,0,0,0,0,75,0.231,0.231,0,0,0,0,0,0,0.503632,-0.0386291,0.0024177,0,0,0.755149,0.794291,0.999999,0.479613,0,0,-0.113438,-0.122713,-0.159996,0.247109,0.0203194,-0.00100339,9.10773e-10,2.55543e-05,-5.31227e-13,-1.13741e-09,0,0,0.255098,0.192675,0.796906,0.175698,0,1,0,0,0,0,0,0,0,0,0,0,0.511712,0.746632,0.279446,0.211065,0.872967,0.384935,0.264197,0.480025,0.0860711,0.104792,0.166231,0.0791711,1,0.797985,0.202015,0,0,0.488558,0.511442,0,0,0,0.487778,0.512222,0,0,0,1,0,0.142114,0.134873,0.113409,0.0960687,0.072506,0.0642586,0.0769129,0.0968734,0.109992,0.129184,0.143496,0.149202
0,7,0,0,1,0,0,0,0,75,0.246,0.246,0,0,0,0,0,0,0.500001,0.0261416,0.00132289,0,0,0.741878,0.77852,0.999999,0.479614,0,0,-0.00585965,0.0326625,-7.82808e-07,0.182331,0.0132647,-0.00268189,3.31137e-09,2.23287e-07,-4.4117e-13,-9.86953e-10,0,0,0.255232,0.192986,0.797139,0.180581,0,1,0,0,0,0,0,0,0,0,0,0,0.509534,0.853333,0.279593,0.211406,0.873222,0.395634,0.246197,0.466125,0.0849537,0.100674,0.165665,0.0787607,1,0.809302,0.190698,0,0,0.487816,0.512184,0,0,0,0.48853,0.51147,0,0,0,1,0,0.143732,0.135665,0.113608,0.09205,0.0646837,0.0552871,0.0661748,0.0883747,0.103803,0.12823,0.144288,0.150604
0,8,0,0,1,0,0,0,0,75,0.233,0.233,0,0,0,0,0,0,0.506278,-0.0175209,0.000976716,0,0,0.757068,0.774393,0.999999,0.518761,0,0,-0.0730154,-0.037362,-0.0799995,0.130209,0.0121159,-0.00430218,-3.72529e-10,4.55316e-09,-4.25039e-13,-1.13581e-09,0,0,0.25779,0.189251,0.803955,0.188785,0,1,0,0,0,0,0,0,0,0,0,0,0.497345,0.916376,0.282395,0.207314,0.880688,0.387756,0.23545,0.456993,0.0843907,0.0971477,0.165254,0.0799261,1,0.812541,0.187459,0,0,0.487019,0.512981,0,0,0,0.488404,0.511596,0,0,0,1,0,0.144796,0.137013,0.113656,0.0894353,0.057729,0.0475681,0.0569358,0.0803646,0.0987116,0.126409,0.145234,0.151372
0,9,0,0,1,0,0,0,0,75,0.222,0.222,0,0,0,0,0,0,0.506158,-0.000451569,-0.00209755,0,0,0.757604,0.739563,0.999999,0.552095,0,0,-0.0511097,-0.0352792,-0.0399999,0.162776,-0.0145259,-0.00225446,2.15239e-09,-2.31796e-09,-4.92346e-13,-1.15923e-09,0,0,0.258618,0.191056,0.811284,0.205278,0,1,0,0,0,0,0,0,0,0,0,0,0.495868,0.917889,0.283302,0.209291,0.888717,0.396832,0.220524,0.451816,0.0842574,0.0942666,0.16496,0.0827367,1,0.816038,0.183962,0,0,0.489267,0.510733,0,0,0,0.488108,0.511892,0,0,0,1,0,0.145732,0.138491,0.114256,0.0871392,0.0513739,0.0409269,0.0489867,0.0728843,0.0948694,0.124354,0.145998,0.152115
