"","Dip","Gain","MatrixGo1","MatrixGo2","MatrixGo3","MatrixGo4","MatrixGo5","MatrixGo6","MatrixNoGo1","MatrixNoGo2","MatrixNoGo3","MatrixNoGo4","MatrixNoGo5","MatrixNoGo6"
"1","0.1","0.1",0.155125,0.137518,0.0897282,0.044768,0.013707,0.00390488,0.0191999,0.0540757,0.100839,0.140483,0.154534,0.159283
"2","0.1","0.2",0.156123,0.148584,0.129751,0.0882841,0.0280315,0.00390466,0.00655794,0.0241576,0.057985,0.107477,0.14736,0.159282
"3","0.1","0.3",0.156213,0.151009,0.140835,0.115072,0.0466602,0.0039055,0.00201521,0.0124306,0.0369896,0.0810041,0.136598,0.159282
"4","0.1","0.4",0.156237,0.152051,0.144929,0.129166,0.0660717,0.00390558,0.000373518,0.00668136,0.0249534,0.0621405,0.12324,0.159282
"5","0.1","0.5",0.156243,0.152621,0.146993,0.136868,0.0837689,0.00390213,0.000189063,0.00417026,0.0172269,0.0490532,0.110259,0.159281
"6","0.1","0.6",0.156249,0.152994,0.148246,0.141344,0.0974871,0.00390265,0.00016605,0.000980888,0.0120675,0.0394925,0.0983468,0.159281
"7","0.1","0.7",0.156253,0.153254,0.14908,0.144129,0.108112,0.00390283,0.000153759,0.000208862,0.00843146,0.0322068,0.0879562,0.159281
"8","0.1","0.8",0.156256,0.153445,0.149673,0.14603,0.116317,0.00390302,0.000145191,0.000182832,0.00580807,0.0264777,0.0788961,0.159281
"9","0.1","0.9",0.156258,0.153591,0.150117,0.1474,0.122684,0.00390315,0.000139195,0.00016929,0.00412977,0.0218651,0.0708452,0.159281
"10","0.1","1.0",0.15626,0.153706,0.15046,0.148429,0.127664,0.0039033,0.000134653,0.000160196,0.00151888,0.0180796,0.0639742,0.159281
"11","0.1","1.1",0.156261,0.153799,0.150734,0.149227,0.131602,0.00390329,0.000131091,0.00015384,0.000373309,0.0149666,0.0580387,0.159281
"12","0.1","1.2",0.156262,0.153876,0.150957,0.149864,0.134754,0.00390329,0.00012819,0.000148549,0.000180754,0.0123955,0.0528618,0.159281
